#Problem,Name,Difficulty,Leetcode Links,Progress
471,Encode String with Shortest Length,Hard,https://leetcode.com/problems/encode-string-with-shortest-length,
679,24 Game,Hard,https://leetcode.com/problems/24-game,
149,Max Points on a Line,Hard,https://leetcode.com/problems/max-points-on-a-line,
305,Number of Islands II,Hard,https://leetcode.com/problems/number-of-islands-ii,
1096,Brace Expansion II,Hard,https://leetcode.com/problems/brace-expansion-ii,
158,Read N Characters Given Read4 II - Call multiple times,Hard,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,
465,Optimal Account Balancing,Hard,https://leetcode.com/problems/optimal-account-balancing,
4,Median of Two Sorted Arrays,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays,
68,Text Justification,Hard,https://leetcode.com/problems/text-justification,
803,Bricks Falling When Hit,Hard,https://leetcode.com/problems/bricks-falling-when-hit,
317,Shortest Distance from All Buildings,Hard,https://leetcode.com/problems/shortest-distance-from-all-buildings,
1153,String Transforms Into Another String,Hard,https://leetcode.com/problems/string-transforms-into-another-string,
1088,Confusing Number II,Hard,https://leetcode.com/problems/confusing-number-ii,
315,Count of Smaller Numbers After Self,Hard,https://leetcode.com/problems/count-of-smaller-numbers-after-self,
1231,Divide Chocolate,Hard,https://leetcode.com/problems/divide-chocolate,
818,Race Car,Hard,https://leetcode.com/problems/race-car,
1168,Optimize Water Distribution in a Village,Hard,https://leetcode.com/problems/optimize-water-distribution-in-a-village,
10,Regular Expression Matching,Hard,https://leetcode.com/problems/regular-expression-matching,
23,Merge k Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists,
329,Longest Increasing Path in a Matrix,Hard,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,
57,Insert Interval,Hard,https://leetcode.com/problems/insert-interval,
85,Maximal Rectangle,Hard,https://leetcode.com/problems/maximal-rectangle,
736,Parse Lisp Expression,Hard,https://leetcode.com/problems/parse-lisp-expression,
727,Minimum Window Subsequence,Hard,https://leetcode.com/problems/minimum-window-subsequence,
527,Word Abbreviation,Hard,https://leetcode.com/problems/word-abbreviation,
295,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream,
913,Cat and Mouse,Hard,https://leetcode.com/problems/cat-and-mouse,
552,Student Attendance Record II,Hard,https://leetcode.com/problems/student-attendance-record-ii,
76,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring,
363,Max Sum of Rectangle No Larger Than K,Hard,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,
297,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,
224,Basic Calculator,Hard,https://leetcode.com/problems/basic-calculator,
715,Range Module,Hard,https://leetcode.com/problems/range-module,
403,Frog Jump,Hard,https://leetcode.com/problems/frog-jump,
135,Candy,Hard,https://leetcode.com/problems/candy,
269,Alien Dictionary,Hard,https://leetcode.com/problems/alien-dictionary,
850,Rectangle Area II,Hard,https://leetcode.com/problems/rectangle-area-ii,
128,Longest Consecutive Sequence,Hard,https://leetcode.com/problems/longest-consecutive-sequence,
391,Perfect Rectangle,Hard,https://leetcode.com/problems/perfect-rectangle,
72,Edit Distance,Hard,https://leetcode.com/problems/edit-distance,
354,Russian Doll Envelopes,Hard,https://leetcode.com/problems/russian-doll-envelopes,
124,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum,
239,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum,
943,Find the Shortest Superstring,Hard,https://leetcode.com/problems/find-the-shortest-superstring,
745,Prefix and Suffix Search,Hard,https://leetcode.com/problems/prefix-and-suffix-search,
336,Palindrome Pairs,Hard,https://leetcode.com/problems/palindrome-pairs,
1032,Stream of Characters,Hard,https://leetcode.com/problems/stream-of-characters,
44,Wildcard Matching,Hard,https://leetcode.com/problems/wildcard-matching,
815,Bus Routes,Hard,https://leetcode.com/problems/bus-routes,
772,Basic Calculator III,Hard,https://leetcode.com/problems/basic-calculator-iii,
871,Minimum Number of Refueling Stops,Hard,https://leetcode.com/problems/minimum-number-of-refueling-stops,
685,Redundant Connection II,Hard,https://leetcode.com/problems/redundant-connection-ii,
1240,Tiling a Rectangle with the Fewest Squares,Hard,https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,
407,Trapping Rain Water II,Hard,https://leetcode.com/problems/trapping-rain-water-ii,
411,Minimum Unique Word Abbreviation,Hard,https://leetcode.com/problems/minimum-unique-word-abbreviation,
41,First Missing Positive,Hard,https://leetcode.com/problems/first-missing-positive,
428,Serialize and Deserialize N-ary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,
37,Sudoku Solver,Hard,https://leetcode.com/problems/sudoku-solver,
591,Tag Validator,Hard,https://leetcode.com/problems/tag-validator,
212,Word Search II,Hard,https://leetcode.com/problems/word-search-ii,
302,Smallest Rectangle Enclosing Black Pixels,Hard,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels,
710,Random Pick with Blacklist,Hard,https://leetcode.com/problems/random-pick-with-blacklist,
358,Rearrange String k Distance Apart,Hard,https://leetcode.com/problems/rearrange-string-k-distance-apart,
84,Largest Rectangle in Histogram,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram,
115,Distinct Subsequences,Hard,https://leetcode.com/problems/distinct-subsequences,
499,The Maze III,Hard,https://leetcode.com/problems/the-maze-iii,
1074,Number of Submatrices That Sum to Target,Hard,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,
126,Word Ladder II,Hard,https://leetcode.com/problems/word-ladder-ii,
460,LFU Cache,Hard,https://leetcode.com/problems/lfu-cache,
65,Valid Number,Hard,https://leetcode.com/problems/valid-number,
327,Count of Range Sum,Hard,https://leetcode.com/problems/count-of-range-sum,
1293,Shortest Path in a Grid with Obstacles Elimination,Hard,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,
282,Expression Add Operators,Hard,https://leetcode.com/problems/expression-add-operators,
381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,
773,Sliding Puzzle,Hard,https://leetcode.com/problems/sliding-puzzle,
1547,Minimum Cost to Cut a Stick,Hard,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,
97,Interleaving String,Hard,https://leetcode.com/problems/interleaving-string,
316,Remove Duplicate Letters,Hard,https://leetcode.com/problems/remove-duplicate-letters,
214,Shortest Palindrome,Hard,https://leetcode.com/problems/shortest-palindrome,
188,Best Time to Buy and Sell Stock IV,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,
920,Number of Music Playlists,Hard,https://leetcode.com/problems/number-of-music-playlists,
32,Longest Valid Parentheses,Hard,https://leetcode.com/problems/longest-valid-parentheses,
660,Remove 9,Hard,https://leetcode.com/problems/remove-9,
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Hard,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,
1320,Minimum Distance to Type a Word Using Two Fingers,Hard,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,
1406,Stone Game III,Hard,https://leetcode.com/problems/stone-game-iii,
132,Palindrome Partitioning II,Hard,https://leetcode.com/problems/palindrome-partitioning-ii,
273,Integer to English Words,Hard,https://leetcode.com/problems/integer-to-english-words,
480,Sliding Window Median,Hard,https://leetcode.com/problems/sliding-window-median,
